Channel;Source;Detector;Brodmann Area;X (mm);Y (mm);Z (mm);Specificity (%)
25;S4 (F3);D2 (F1);L BA9 - Dorsolateral prefrontal cortex;-31;39;41;67
;;;L BA46 - Dorsolateral prefrontal cortex;;;;25
26;S4 (F3);D6 (FC3);L BA9 - Dorsolateral prefrontal cortex;-45;25;41;37
;;;L BA44 - pars opercularis, part of Broca's area;;;;27
27;S11 (FC1);D6 (FC3);L BA6 - Pre-Motor and Supplementary Motor Cortex;-38;12;55;38
;;;L BA9 - Dorsolateral prefrontal cortex;;;;35
;;;L BA8 - Frontal eye fields;;;;23
28;S11 (FC1);D12 (FCz);L BA6 - Pre-Motor and Supplementary Motor Cortex;-13;12;67;73
;;;L BA8 - Frontal eye fields;;;;26
29;S1 (AF3);D1 (AFz) ;L BA10 - Frontopolar area;-12;62;23;76
30;S1 (AF3);D8 (Fp1);L BA10 - Frontopolar area;-24;63;9;70
;;;L BA11 - Orbitofrontal area;;;;20
31;S6 (Fpz);D8 (Fp1);L BA10 - Frontopolar area;-12;67;0;54
;;;L BA11 - Orbitofrontal area;;;;45
32;S7 (AF7);D8 (Fp1);L BA11 - Orbitofrontal area;-33;59;-2;33
;;;L BA46 - Dorsolateral prefrontal cortex;;;;25
;;;L BA10 - Frontopolar area;;;;25
33;S9 (F7);D11 (F9);L BA38 - Temporopolar area;-49;31;-12;32
;;;L BA47 - Inferior prefrontal gyrus;;;;32
34;S9 (F7);D13 (FT7);L BA38 - Temporopolar area;-54;21;-4;32
;;;L BA45 - pars triangularis Broca's area;;;;24
35;S13 (FC5);D6 (FC3);L BA44 - pars opercularis, part of Broca's area;-55;12;34;48
;;;L BA6 - Pre-Motor and Supplementary Motor Cortex;;;;36
36;S13 (FC5);D4 (F5);L BA45 - pars triangularis Broca's area;-56;24;20;53
;;;L BA44 - pars opercularis, part of Broca's area;;;;34
37;S13 (FC5);D13 (FT7);L BA48 - Retrosubicular area;-59;11;9;32
;;;L BA6 - Pre-Motor and Supplementary Motor Cortex;;;;24
38;S9 (F7);D4 (F5);L BA45 - pars triangularis Broca's area;-53;37;6;80
39;S4 (F3);D4 (F5);L BA45 - pars triangularis Broca's area;-46;39;26;73
;;;L BA46 - Dorsolateral prefrontal cortex;;;;22
40;S7 (AF7);D4 (F5);L BA45 - pars triangularis Broca's area;-47;46;6;49
;;;L BA46 - Dorsolateral prefrontal cortex;;;;43
41;S1 (AF3);D4 (F5);L BA46 - Dorsolateral prefrontal cortex;-39;50;17;49
;;;L BA45 - pars triangularis Broca's area;;;;32
